id,claim,ground_truth,predicted,confidence,correct
1,The Earth revolves around the Sun.,REAL,REAL,100,True
2,Water freezes at 0 degrees Celsius at standard atmospheric pressure.,REAL,REAL,100,True
3,NASA's Perseverance rover landed on Mars in February 2021.,REAL,REAL,100,True
4,The Moon is larger than Earth.,FAKE,FAKE,100,True
5,The Earth is flat.,FAKE,FAKE,100,True
6,Humans can breathe normally in the vacuum of space without a spacesuit.,FAKE,FAKE,100,True
7,WhatsApp will shut down every night from 11:30 PM to 6 AM in India.,FAKE,ERROR,0,False
8,The Sun is a star.,REAL,REAL,100,True
9,The Pacific Ocean is the largest ocean on Earth.,REAL,ERROR,0,False
10,The Great Wall of China is visible from the Moon with the naked eye.,FAKE,ERROR,0,False
11,"North Korea is preparing to send another 50,000 troops to Russia to fight in the Ukraine war.",UNVERIFIED,ERROR,0,False
12,A human can survive indefinitely without drinking water.,FAKE,ERROR,0,False
13,India launched Chandrayaan-3 in 2023.,REAL,ERROR,0,False
14,Chandrayaan-3 successfully landed near the Moon's south polar region.,REAL,ERROR,0,False
15,All artificial intelligence systems always provide factually correct answers.,FAKE,ERROR,0,False
16,"The speed of light in vacuum is approximately 300,000 kilometers per second.",REAL,ERROR,0,False
17,The Amazon rainforest produces 100 percent of the world's oxygen.,MISLEADING,ERROR,0,False
18,Every earthquake can be accurately predicted days in advance.,FAKE,ERROR,0,False
19,Social media posts are always reliable sources of factual information.,FAKE,ERROR,0,False
20,A claim circulating online is automatically true if thousands of people share it.,FAKE,ERROR,0,False
